,trt_imdb_score,trt_duration,trt_language,country,trt_content_rating,budget,aspect_ratio,trt_genre
311,6-7,longa_metragem,english,Germany,R,102000000.0,2.35,Drama
312,6-7,longa_metragem,english,USA,PG,80000000.0,2.35,Action
313,<4,longa_metragem,english,USA,PG-13,100000000.0,2.35,Action
314,6-7,longa_metragem,english,USA,PG-13,100000000.0,2.35,Action
315,6-7,longa_metragem,english,USA,PG,140000000.0,1.5,Adventure
316,5,longa_metragem,english,USA,PG-13,100000000.0,1.85,Adventure
317,6-7,longa_metragem,english,USA,PG-13,90000000.0,2.35,Action
318,5,longa_metragem,english,USA,PG-13,105000000.0,2.35,Action
319,<4,longa_metragem,english,USA,PG,84000000.0,1.85,Comedy
320,6-7,longa_metragem,english,USA,PG-13,100000000.0,1.85,Action
321,<4,longa_metragem,english,USA,PG-13,100000000.0,1.85,Action
322,6-7,longa_metragem,english,France,R,100000000.0,2.35,Action
323,6-7,longa_metragem,english,USA,G,99000000.0,1.85,Adventure
324,6-7,longa_metragem,english,USA,PG,10000000.0,1.85,Drama
325,6-7,longa_metragem,english,USA,PG-13,98000000.0,2.35,Action
326,6-7,longa_metragem,english,USA,R,100000000.0,2.35,Crime
327,6-7,longa_metragem,other,China,R,94000000.0,2.35,Drama
328,6-7,longa_metragem,english,USA,PG,100000000.0,1.85,Animation
329,5,longa_metragem,english,USA,PG-13,90000000.0,1.85,Comedy
330,6-7,longa_metragem,english,USA,R,92000000.0,2.35,Drama
331,6-7,longa_metragem,english,USA,R,95000000.0,1.85,Comedy
332,6-7,longa_metragem,english,France,PG-13,93000000.0,2.35,Action
333,<4,longa_metragem,english,USA,R,100000000.0,1.85,Comedy
334,6-7,longa_metragem,english,USA,PG,95000000.0,1.85,Adventure
335,6-7,longa_metragem,english,USA,PG,95000000.0,2.35,Adventure
336,6-7,longa_metragem,english,USA,PG,95000000.0,2.35,Drama
337,6-7,longa_metragem,english,USA,PG-13,65000000.0,2.35,Drama
338,8-10,longa_metragem,english,USA,G,94000000.0,1.85,Adventure
339,8-10,longa_metragem,english,USA,PG-13,94000000.0,2.35,Action
340,8-10,longa_metragem,english,USA,PG-13,94000000.0,2.35,Action
341,5,longa_metragem,english,USA,PG-13,95000000.0,2.35,Action
342,5,longa_metragem,english,USA,PG-13,115000000.0,2.35,Action
343,6-7,longa_metragem,english,UK,PG-13,100000000.0,2.35,Drama
344,5,longa_metragem,english,USA,PG-13,93000000.0,1.85,Action
345,6-7,longa_metragem,english,USA,PG-13,93000000.0,2.35,Action
346,6-7,longa_metragem,english,USA,PG,90000000.0,2.35,Adventure
347,5,longa_metragem,english,USA,R,92000000.0,1.85,Action
348,6-7,longa_metragem,english,USA,PG-13,107000000.0,2.35,Drama
349,8-10,longa_metragem,english,USA,PG,92000000.0,2.35,Action
350,5,longa_metragem,english,USA,PG-13,98000000.0,2.35,Action
351,5,longa_metragem,english,UK,PG,95000000.0,2.35,Adventure
352,6-7,longa_metragem,english,USA,PG-13,90000000.0,1.85,Adventure
353,6-7,longa_metragem,english,USA,G,90000000.0,1.85,Adventure
354,6-7,longa_metragem,english,USA,PG-13,100000000.0,2.35,Action
355,6-7,longa_metragem,english,USA,PG-13,90000000.0,2.35,Action
356,6-7,longa_metragem,english,USA,PG-13,100000000.0,2.35,Drama
357,6-7,longa_metragem,english,USA,PG,100000000.0,2.35,Animation
358,6-7,longa_metragem,english,USA,PG,90000000.0,1.85,Action
359,6-7,longa_metragem,english,USA,PG,90000000.0,2.35,Adventure
360,5,longa_metragem,english,USA,PG-13,92000000.0,2.35,Action
361,8-10,longa_metragem,english,USA,R,90000000.0,2.35,Crime
362,6-7,longa_metragem,english,USA,G,90000000.0,1.66,Adventure
363,6-7,longa_metragem,english,USA,R,92000000.0,2.35,Action
364,6-7,longa_metragem,english,USA,R,90000000.0,2.35,Crime
365,6-7,longa_metragem,english,USA,R,90000000.0,2.35,Action
366,6-7,longa_metragem,english,USA,PG-13,90000000.0,1.85,Action
368,6-7,longa_metragem,english,USA,PG,120000000.0,2.35,Action
369,5,longa_metragem,english,USA,PG,90000000.0,1.85,Adventure
370,6-7,longa_metragem,english,USA,PG-13,75000000.0,1.85,Drama
371,5,longa_metragem,english,USA,PG-13,90000000.0,1.85,Action
372,5,longa_metragem,english,USA,PG-13,88000000.0,2.35,Action
373,6-7,longa_metragem,english,USA,PG-13,100000000.0,1.85,Adventure
374,<4,longa_metragem,english,USA,PG,90000000.0,2.35,Comedy
375,6-7,longa_metragem,english,USA,PG,90000000.0,2.35,Drama
376,5,longa_metragem,english,USA,R,95000000.0,1.85,Action
377,6-7,longa_metragem,other,UK,PG-13,80000000.0,2.35,Crime
378,5,longa_metragem,english,USA,PG,90000000.0,2.35,Adventure
379,5,longa_metragem,english,USA,PG-13,95000000.0,2.35,Action
380,6-7,longa_metragem,english,USA,PG-13,90000000.0,2.35,Action
381,6-7,longa_metragem,english,USA,PG-13,68000000.0,2.35,Action
382,6-7,longa_metragem,english,Germany,R,92000000.0,2.35,Action
383,5,longa_metragem,english,USA,PG,90000000.0,2.35,Adventure
384,6-7,longa_metragem,english,USA,G,90000000.0,2.35,Adventure
385,6-7,longa_metragem,english,USA,PG,100000000.0,1.85,Comedy
386,5,longa_metragem,english,USA,PG-13,90000000.0,1.85,Action
387,6-7,longa_metragem,english,USA,R,86000000.0,2.35,Action
388,6-7,longa_metragem,english,UK,PG-13,100000000.0,2.35,Drama
390,6-7,longa_metragem,english,USA,R,20000000.0,2.35,Adventure
391,8-10,longa_metragem,english,USA,PG-13,88000000.0,2.35,Biography
392,<4,longa_metragem,english,UK,PG,90000000.0,2.35,Action
393,6-7,longa_metragem,english,USA,PG-13,87000000.0,2.35,Drama
394,6-7,longa_metragem,english,USA,PG-13,92000000.0,2.35,Action
396,6-7,longa_metragem,english,USA,PG-13,90000000.0,1.85,Adventure
397,6-7,longa_metragem,english,USA,PG,100000000.0,2.35,Animation
398,6-7,longa_metragem,english,USA,PG-13,75000000.0,2.35,Action
399,6-7,longa_metragem,english,USA,R,85000000.0,2.35,Action
400,6-7,longa_metragem,english,USA,PG-13,85000000.0,2.35,Crime
401,5,longa_metragem,english,Germany,PG-13,75000000.0,2.35,Action
402,6-7,longa_metragem,english,USA,PG,85000000.0,1.85,Animation
403,6-7,longa_metragem,english,USA,PG,85000000.0,2.35,Animation
405,6-7,longa_metragem,english,USA,R,85000000.0,2.35,Action
406,<4,longa_metragem,english,USA,G,85000000.0,1.85,Adventure
